annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2021;800010101;Centre Ville Émonville;1;;RUE;DES CAPUCINS;1 RUE DES CAPUCINS;1;418.951;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;45
2021;800010501;La Porte au Bois;14;;RUE;RENE DINGEON;14 RUE RENE DINGEON;1;104.377;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;96
2024;800010101;Centre Ville Émonville;1;;RUE;DES CAPUCINS;1 RUE DES CAPUCINS;1;396.474;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;109
2023;800010101;Centre Ville Émonville;1;;RUE;DES CAPUCINS;1 RUE DES CAPUCINS;1;420.28;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;116
2022;800010101;Centre Ville Émonville;1;;RUE;DES CAPUCINS;1 RUE DES CAPUCINS;1;424.248;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;123
2024;800010501;La Porte au Bois;14;;RUE;RENE DINGEON;14 RUE RENE DINGEON;1;74.036;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;203
2023;800010501;La Porte au Bois;14;;RUE;RENE DINGEON;14 RUE RENE DINGEON;1;86.184;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;207
2022;800010501;La Porte au Bois;14;;RUE;RENE DINGEON;14 RUE RENE DINGEON;1;98.974;TERTIAIRE;ENT;61;80001;Abbeville;200070993;80;32;215
2021;780050103;Champs de Villars;205;;AVENUE;DU GENERAL DE GAULLE;205 AVENUE DU GENERAL DE GAULLE;1;15351.267;TERTIAIRE;ENT;61;78005;Achères;200059889;78;11;238
2021;780050103;Champs de Villars;205;B;AVENUE;DU GENERAL DE GAULLE;205 B AVENUE DU GENERAL DE GAULLE;1;284.584;TERTIAIRE;ENT;61;78005;Achères;200059889;78;11;241
2021;340030102;Mirabel;4;;CHEMIN;D AGDE AU MONT SAINT LOUP;4 CHEMIN D AGDE AU MONT SAINT LOUP;1;296.76;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;296
2021;470010114;Centre Urbain 2;1;;RUE;DE L ECOLE VIEILLE;1 RUE DE L ECOLE VIEILLE;1;350.186;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;404
2021;470010101;Centre Urbain 1;93;;BOULEVARD;DE LA REPUBLIQUE;93 BOULEVARD DE LA REPUBLIQUE;1;49.885;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;411
2023;050010000;Abriès-Ristolas (commune non irisée);;;;RELAIS TDF LE CALVAIRE;RELAIS TDF LE CALVAIRE;1;94.692;TERTIAIRE;ENT;61;05001;Abriès-Ristolas;200067452;05;93;461
2022;050010000;Abriès-Ristolas (commune non irisée);;;;RELAIS TDF LE CALVAIRE;RELAIS TDF LE CALVAIRE;1;101.447;TERTIAIRE;ENT;61;05001;Abriès-Ristolas;200067452;05;93;463
2024;050010000;Abriès-Ristolas (commune non irisée);;;;RELAIS TDF LE CALVAIRE;RELAIS TDF LE CALVAIRE;1;90.278;TERTIAIRE;ENT;61;05001;Abriès-Ristolas;200067452;05;93;467
2021;470010104;Tapie Rodrigues;44;;RUE;PAGANEL;44 RUE PAGANEL;1;1113.8;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;516
2024;780050103;Champs de Villars;205;B;AVENUE;DU GENERAL DE GAULLE;205 B AVENUE DU GENERAL DE GAULLE;1;149.699;TERTIAIRE;ENT;61;78005;Achères;200059889;78;11;634
2022;340030102;Mirabel;;;;;;1;243.362;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;769
2023;340030102;Mirabel;4;;CHEMIN;D AGDE AU MONT SAINT LOUP;4 CHEMIN D AGDE AU MONT SAINT LOUP;1;250.736;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;800
2024;340030102;Mirabel;4;;CHEMIN;D AGDE AU MONT SAINT LOUP;4 CHEMIN D AGDE AU MONT SAINT LOUP;1;251.155;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;804
2023;340030201;Le Cap d'Agde;;;ILE;DES LOISIRS;ILE DES LOISIRS;1;24.83;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;927
2022;340030201;Le Cap d'Agde;;;ILE;DES LOISIRS;ILE DES LOISIRS;1;29.069;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;927
2024;340030201;Le Cap d'Agde;;;ILE;DES LOISIRS;ILE DES LOISIRS;1;25.366;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;940
2022;340030110;Le Golf-Mont Saint-Loup;;;RUE;DU MONT SAINT LOUP;RUE DU MONT SAINT LOUP;1;317.004;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;975
2023;340030110;Le Golf-Mont Saint-Loup;;;RUE;DU MONT SAINT LOUP;RUE DU MONT SAINT LOUP;1;317.26;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;977
2024;340030110;Le Golf-Mont Saint-Loup;;;;MONT SAINT LOUP;MONT SAINT LOUP;1;313.751;TERTIAIRE;ENT;61;34003;Agde;243400819;34;76;1050
2021;130010901;Pont de l'Arc-La Parade;405;;CHEMIN;DES PIBOULES;405 CHEMIN DES PIBOULES;5;379.122;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1074
2021;130010901;Pont de l'Arc-La Parade;389;;AVENUE;DU CLUB HIPPIQUE;389 AVENUE DU CLUB HIPPIQUE;3;879.399;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1108
2023;470010114;Centre Urbain 2;1;;RUE;DE L ECOLE VIEILLE;1 RUE DE L ECOLE VIEILLE;1;304.742;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1172
2024;470010114;Centre Urbain 2;1;;RUE;DE L ECOLE VIEILLE;1 RUE DE L ECOLE VIEILLE;1;279.79;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1190
2024;470010101;Centre Urbain 1;93;;BOULEVARD;DE LA REPUBLIQUE;93 BOULEVARD DE LA REPUBLIQUE;1;38.793;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1200
2022;470010114;Centre Urbain 2;1;;RUE;DE L ECOLE VIEILLE;1 RUE DE L ECOLE VIEILLE;1;303.919;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1209
2021;130010906;Z.I. Les Milles;45;;RUE;HENRI BESSEMER;45 RUE HENRI BESSEMER;1;377.349;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1249
2021;130010206;Couronne Ouest partie sud;4;;RUE;LAPIERRE;4 RUE LAPIERRE;1;889.412;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1310
2021;130010907;Arbois Partie Ouest;260;;RUE;LOUIS DE BROGLIE;260 RUE LOUIS DE BROGLIE;1;3746.495;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1335
2022;470010104;Tapie Rodrigues;44;;RUE;PAGANEL;44 RUE PAGANEL;1;1110.833;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1359
2023;470010104;Tapie Rodrigues;44;;RUE;PAGANEL;44 RUE PAGANEL;1;1076.603;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1370
2024;470010104;Tapie Rodrigues;44;;RUE;PAGANEL;44 RUE PAGANEL;1;1005.965;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1390
2023;470010110;Nord-Est Diffus;;;;ST ESPRIT HOPITAL;ST ESPRIT HOPITAL;1;171.701;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1398
2022;470010110;Nord-Est Diffus;;;;ST ESPRIT HOPITAL;ST ESPRIT HOPITAL;1;170.88;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1404
2021;130010501;Beisson;10;;AVENUE;PAUL CEZANNE;10 AVENUE PAUL CEZANNE;2;562.17;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;1413
2024;470010110;Nord-Est Diffus;;;;ST ESPRIT HOPITAL;ST ESPRIT HOPITAL;1;164.205;TERTIAIRE;ENT;61;47001;Agen;200096956;47;75;1417
2024;500020000;Agneaux (commune non irisée);18;;RUE;DES PEUPLIERS;18 RUE DES PEUPLIERS;1;15.631;TERTIAIRE;ENT;61;50002;Agneaux;200066389;50;28;1483
2021;730110103;Saint-Sigismond;2;;RUE;DE LONGERAY;2 RUE DE LONGERAY;1;122.039;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;1803
2021;810040202;Université Verdun;17;B;RUE;DE CIRON;17 B RUE DE CIRON;1;724.679;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;1931
2021;810040702;Cantepau 2;52;;AVENUE;GENERAL HOCHE;52 AVENUE GENERAL HOCHE;1;87.594;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;2050
2021;810040702;Cantepau 2;36;;AVENUE;GENERAL HOCHE;36 AVENUE GENERAL HOCHE;1;69.675;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;2052
2021;810040702;Cantepau 2;2;;AVENUE;GENERAL HOCHE;2 AVENUE GENERAL HOCHE;1;783.956;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;2053
2023;270050000;Ailly (commune non irisée);;;;STATION HERTZIENNE;STATION HERTZIENNE;1;192.6;TERTIAIRE;ENT;61;27005;Ailly;200089456;27;28;2064
2021;810040804;Jarlard-Fourches;23;;RUE;ISAAC NEWTON;23 RUE ISAAC NEWTON;1;65.911;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;2066
2022;270050000;Ailly (commune non irisée);;;;STATION HERTZIENNE;STATION HERTZIENNE;1;186.692;TERTIAIRE;ENT;61;27005;Ailly;200089456;27;28;2070
2024;270050000;Ailly (commune non irisée);;;;STATION HERTZIENNE;STATION HERTZIENNE;1;201.723;TERTIAIRE;ENT;61;27005;Ailly;200089456;27;28;2077
